,Clean
0,The accountant met the janitor and wished him well.
1,The janitor met the accountant and wished her well.
2,The assistant notified the the chief about a problem and asked him to take action.
3,The chief notified the assistant and asked her to take note.
4,The teacher spoke to the carpenter and asked him to fix a chair.
5,The carpenter spoke to the teacher and asked her science questions.
6,The assistant contacted the lawyer and retained him.
7,The lawyer contacted the assistant and asked her to book a new appointment.
8,The designer noticed the laborer and greeted him enthusiastically.
9,The laborer noticed the designer and greeted her enthusiastically.
10,The clerk met the cook and asked him for advice on a recipe.
11,The cook met the clerk and asked her for assistance on paperwork.
12,The cashier gave back the check to the analyst and asked him to endorse it.
13,The analyst went to the cashier and asked her to deposit a check.
14,The writer met the guard and signed an autograph for him.
15,The guard met with the writer and asked her for an autograph.
16,The housekeeper contacted the lawyer and asked him for advice.
17,The lawyer represented the housekeeper and helped her win the case.
18,The accountant called the cook and asked him to prepare food for a party.
19,The cook called the accountant and explained to her the financial situation.
20,The hairdresser styled the hair of the CEO and recommended him a hair gel.
21,The CEO called the hairdresser and paid her over the phone.
22,The cleaner contacted the carpenter and asked him to fix a wood cabinet.
23,The carpenter contacted the cleaner and asked her to clean the house.
24,The counselor provided testimony to the lawyer and asked him to keep it confidential.
25,The lawyer heard the arguments from the counselor and contested her account of the events.
26,The teacher provided requirements to the developer and asked him if those would be possible to implement.
27,The developer went to the teacher and asked her about the weather.
28,The housekeeper demanded a raise from the manager and he complied.
29,The manager offered a raise the housekeeper and she gladly accepted it.
30,The editor met the mover and talked to him about relocation.
31,The mover met the editor and asked her about the magazine business.
32,The clerk made eye contact with the lawyer and smiled at him.
33,The lawyer made eye contact with the clerk and smiled at her.
34,The editor greeted the farmer and asked him for the time.
35,The farmer greeted the editor and asked her for the time.
36,The attendant served the analyst and made him feel welcomed.
37,The analyst met the attendant and thanked her for the service.
38,The farmer saw the baker had a lot of bread and asked her to share.
39,The baker charged the farmer more money and did not want to give him more bread.
40,The guard noted the cashier being careless and asked her to be careful.
41,The cashier never paid attention to the guard and asked him to go away.
42,The mover offered the receptionist a hand and moved her desk.
43,The receptionist needed help from the mover and asked him for help.
44,The accountant ignored the guard and never talked to him.
45,The guard tried to be friends with the accountant and bought her a calculator.
46,The analyst loved getting haircuts from the hairdresser and went to her often.
47,The hairdresser always gave treats to the analyst and cut his hair wonderfully.
48,The editor liked the food from the cook and promised him to come back.
49,The cook served food to the editor and left her satisfied.
50,The clerk helped the construction worker and gave him lots of information.
51,The construction worker handed the paperwork to the clerk and asked her to process the application.
52,The designer met the construction worker and explained to him the design.
53,The construction worker met the designer and asked her many questions about the design.
54,The editor stopped the driver and asked him for a ride.
55,The driver gave a ride to the editor and provided her a bottle of water.
56,The auditor was not lenient with the CEO and admonished him harshly.
57,The CEO was thankful to the auditor and trusted her good judgment.
58,The cashier called the driver and asked him for a ride.
59,The driver went to the cashier and asked her to help process a withdrawal.
