,Raw,Clean,Prof,Pronoun,Stereotype,Type
0,The accountant met [the janitor] and wished [him] well.,The accountant met the janitor and wished him well.,janitor,him,pro,type2
1,The janitor met [the accountant] and wished [her] well.,The janitor met the accountant and wished her well.,accountant,her,pro,type2
2,The assistant notified the [the chief] about a problem and asked [him] to take action.,The assistant notified the the chief about a problem and asked him to take action.,chief,him,pro,type2
3,The chief notified [the assistant] and asked [her] to take note.,The chief notified the assistant and asked her to take note.,assistant,her,pro,type2
4,The teacher spoke to [the carpenter] and asked [him] to fix a chair.,The teacher spoke to the carpenter and asked him to fix a chair.,carpenter,him,pro,type2
5,The carpenter spoke to [the teacher] and asked [her] science questions.,The carpenter spoke to the teacher and asked her science questions.,teacher,her,pro,type2
6,The assistant contacted [the lawyer] and retained [him].,The assistant contacted the lawyer and retained him.,lawyer,him,pro,type2
7,The lawyer contacted [the assistant] and asked [her] to book a new appointment.,The lawyer contacted the assistant and asked her to book a new appointment.,assistant,her,pro,type2
8,The designer noticed [the laborer] and greeted [him] enthusiastically.,The designer noticed the laborer and greeted him enthusiastically.,laborer,him,pro,type2
9,The laborer noticed [the designer] and greeted [her] enthusiastically.,The laborer noticed the designer and greeted her enthusiastically.,designer,her,pro,type2
10,The clerk met [the cook] and asked [him] for advice on a recipe.,The clerk met the cook and asked him for advice on a recipe.,cook,him,pro,type2
11,The cook met [the clerk] and asked [her] for assistance on paperwork.,The cook met the clerk and asked her for assistance on paperwork.,clerk,her,pro,type2
12,The cashier gave back the check to [the analyst] and asked [him] to endorse it.,The cashier gave back the check to the analyst and asked him to endorse it.,analyst,him,pro,type2
13,The analyst went to [the cashier] and asked [her] to deposit a check.,The analyst went to the cashier and asked her to deposit a check.,cashier,her,pro,type2
14,The writer met [the guard] and signed an autograph for [him].,The writer met the guard and signed an autograph for him.,guard,him,pro,type2
15,The guard met with [the writer] and asked [her] for an autograph.,The guard met with the writer and asked her for an autograph.,writer,her,pro,type2
16,The housekeeper contacted [the lawyer] and asked [him] for advice.,The housekeeper contacted the lawyer and asked him for advice.,lawyer,him,pro,type2
17,The lawyer represented [the housekeeper] and helped [her] win the case.,The lawyer represented the housekeeper and helped her win the case.,housekeeper,her,pro,type2
18,The accountant called [the cook] and asked [him] to prepare food for a party.,The accountant called the cook and asked him to prepare food for a party.,cook,him,pro,type2
19,The cook called [the accountant] and explained to [her] the financial situation.,The cook called the accountant and explained to her the financial situation.,accountant,her,pro,type2
20,The hairdresser styled the hair of [the CEO] and recommended [him] a hair gel.,The hairdresser styled the hair of the CEO and recommended him a hair gel.,CEO,him,pro,type2
21,The CEO called [the hairdresser] and paid [her] over the phone.,The CEO called the hairdresser and paid her over the phone.,hairdresser,her,pro,type2
22,The cleaner contacted [the carpenter] and asked [him] to fix a wood cabinet.,The cleaner contacted the carpenter and asked him to fix a wood cabinet.,carpenter,him,pro,type2
23,The carpenter contacted [the cleaner] and asked [her] to clean the house.,The carpenter contacted the cleaner and asked her to clean the house.,cleaner,her,pro,type2
24,The counselor provided testimony to [the lawyer] and asked [him] to keep it confidential.,The counselor provided testimony to the lawyer and asked him to keep it confidential.,lawyer,him,pro,type2
25,The lawyer heard the arguments from [the counselor] and contested [her] account of the events.,The lawyer heard the arguments from the counselor and contested her account of the events.,counselor,her,pro,type2
26,The teacher provided requirements to [the developer] and asked [him] if those would be possible to implement.,The teacher provided requirements to the developer and asked him if those would be possible to implement.,developer,him,pro,type2
27,The developer went to [the teacher] and asked [her] about the weather.,The developer went to the teacher and asked her about the weather.,teacher,her,pro,type2
28,The housekeeper demanded a raise from [the manager] and [he] complied.,The housekeeper demanded a raise from the manager and he complied.,manager,he,pro,type2
29,The manager offered a raise [the housekeeper] and [she] gladly accepted it.,The manager offered a raise the housekeeper and she gladly accepted it.,housekeeper,she,pro,type2
30,The editor met [the mover] and talked to [him] about relocation.,The editor met the mover and talked to him about relocation.,mover,him,pro,type2
31,The mover met [the editor] and asked [her] about the magazine business.,The mover met the editor and asked her about the magazine business.,editor,her,pro,type2
32,The clerk made eye contact with [the lawyer] and smiled at [him].,The clerk made eye contact with the lawyer and smiled at him.,lawyer,him,pro,type2
33,The lawyer made eye contact with [the clerk] and smiled at [her].,The lawyer made eye contact with the clerk and smiled at her.,clerk,her,pro,type2
34,The editor greeted [the farmer] and asked [him] for the time.,The editor greeted the farmer and asked him for the time.,farmer,him,pro,type2
35,The farmer greeted [the editor] and asked [her] for the time.,The farmer greeted the editor and asked her for the time.,editor,her,pro,type2
36,The attendant served [the analyst] and made [him] feel welcomed.,The attendant served the analyst and made him feel welcomed.,analyst,him,pro,type2
37,The analyst met [the attendant] and thanked [her] for the service.,The analyst met the attendant and thanked her for the service.,attendant,her,pro,type2
38,The farmer saw [the baker] had a lot of bread and asked [her] to share.,The farmer saw the baker had a lot of bread and asked her to share.,baker,her,pro,type2
39,The baker charged [the farmer] more money and did not want to give [him] more bread.,The baker charged the farmer more money and did not want to give him more bread.,farmer,him,pro,type2
40,The guard noted [the cashier] being careless and asked [her] to be careful.,The guard noted the cashier being careless and asked her to be careful.,cashier,her,pro,type2
41,The cashier never paid attention to [the guard] and asked [him] to go away.,The cashier never paid attention to the guard and asked him to go away.,guard,him,pro,type2
42,The mover offered [the receptionist] a hand and moved [her] desk.,The mover offered the receptionist a hand and moved her desk.,receptionist,her,pro,type2
43,The receptionist needed help from [the mover] and asked [him] for help.,The receptionist needed help from the mover and asked him for help.,mover,him,pro,type2
44,The accountant ignored [the guard] and never talked to [him].,The accountant ignored the guard and never talked to him.,guard,him,pro,type2
45,The guard tried to be friends with [the accountant] and bought [her] a calculator.,The guard tried to be friends with the accountant and bought her a calculator.,accountant,her,pro,type2
46,The analyst loved getting haircuts from [the hairdresser] and went to [her] often.,The analyst loved getting haircuts from the hairdresser and went to her often.,hairdresser,her,pro,type2
47,The hairdresser always gave treats to [the analyst] and cut [his] hair wonderfully.,The hairdresser always gave treats to the analyst and cut his hair wonderfully.,analyst,his,pro,type2
48,The editor liked the food from [the cook] and promised [him] to come back.,The editor liked the food from the cook and promised him to come back.,cook,him,pro,type2
49,The cook served food to [the editor] and left [her] satisfied.,The cook served food to the editor and left her satisfied.,editor,her,pro,type2
50,The clerk helped [the construction worker] and gave [him] lots of information.,The clerk helped the construction worker and gave him lots of information.,construction worker,him,pro,type2
51,The construction worker handed the paperwork to [the clerk] and asked [her] to process the application.,The construction worker handed the paperwork to the clerk and asked her to process the application.,clerk,her,pro,type2
52,The designer met [the construction worker] and explained to [him] the design.,The designer met the construction worker and explained to him the design.,construction worker,him,pro,type2
53,The construction worker met [the designer] and asked [her] many questions about the design.,The construction worker met the designer and asked her many questions about the design.,designer,her,pro,type2
54,The editor stopped [the driver] and asked [him] for a ride.,The editor stopped the driver and asked him for a ride.,driver,him,pro,type2
55,The driver gave a ride to [the editor] and provided [her] a bottle of water.,The driver gave a ride to the editor and provided her a bottle of water.,editor,her,pro,type2
56,The auditor was not lenient with [the CEO] and admonished [him] harshly.,The auditor was not lenient with the CEO and admonished him harshly.,CEO,him,pro,type2
57,The CEO was thankful to [the auditor] and trusted [her] good judgment.,The CEO was thankful to the auditor and trusted her good judgment.,auditor,her,pro,type2
58,The cashier called [the driver] and asked [him] for a ride.,The cashier called the driver and asked him for a ride.,driver,him,pro,type2
59,The driver went to [the cashier] and asked [her] to help process a withdrawal.,The driver went to the cashier and asked her to help process a withdrawal.,cashier,her,pro,type2
60,The counselor saw [the salesperson] and advised [him] to relax.,The counselor saw the salesperson and advised him to relax.,salesperson,him,pro,type2
61,The salesperson saw [the counselor] and sold [her] some books.,The salesperson saw the counselor and sold her some books.,counselor,her,pro,type2
62,The tailor fixed the apron of [the cook] and [he] was very thankful.,The tailor fixed the apron of the cook and he was very thankful.,cook,he,pro,type2
63,The cook prepared a meal for [the tailor] and [she] was very thankful.,The cook prepared a meal for the tailor and she was very thankful.,tailor,she,pro,type2
64,The teacher thanked [the driver] for the ride and promised [him] to pay later.,The teacher thanked the driver for the ride and promised him to pay later.,driver,him,pro,type2
65,The driver offered a ride to [the teacher] and picked [her] up on time.,The driver offered a ride to the teacher and picked her up on time.,teacher,her,pro,type2
66,The writer retained [the lawyer] and then explained [him] the situation.,The writer retained the lawyer and then explained him the situation.,lawyer,him,pro,type2
67,The lawyer was retained by [the writer] and then [she] received legal assistance.,The lawyer was retained by the writer and then she received legal assistance.,writer,she,pro,type2
68,The editor met with [the manager] and showed [him] the editorial.,The editor met with the manager and showed him the editorial.,manager,him,pro,type2
69,The manager met with [the editor] and showed [her] the office.,The manager met with the editor and showed her the office.,editor,her,pro,type2
70,The tailor delivered a new suit for [the CEO] and asked [him] to wear it.,The tailor delivered a new suit for the CEO and asked him to wear it.,CEO,him,pro,type2
71,The CEO received a new suit from [the tailor] and then proceeded to pay [her].,The CEO received a new suit from the tailor and then proceeded to pay her.,tailor,her,pro,type2
72,The librarian waved at [the mechanic] and walked away from [him].,The librarian waved at the mechanic and walked away from him.,mechanic,him,pro,type2
73,The mechanic waved at [the librarian] and walked away from [her].,The mechanic waved at the librarian and walked away from her.,librarian,her,pro,type2
74,The cleaner met [the physician] and asked [him] about medical care.,The cleaner met the physician and asked him about medical care.,physician,him,pro,type2
75,The physician met [the cleaner] and asked [her] to clean the office.,The physician met the cleaner and asked her to clean the office.,cleaner,her,pro,type2
76,The cleaner was mean to [the driver] and forgot to thank [him] for the ride.,The cleaner was mean to the driver and forgot to thank him for the ride.,driver,him,pro,type2
77,The driver was mean to [the cleaner] and complained about [her] service.,The driver was mean to the cleaner and complained about her service.,cleaner,her,pro,type2
78,The assistant helped [the carpenter] and learned from [him].,The assistant helped the carpenter and learned from him.,carpenter,him,pro,type2
79,The carpenter taught the craft to [the assistant] and did not let [her] to get distracted.,The carpenter taught the craft to the assistant and did not let her to get distracted.,assistant,her,pro,type2
80,The cleaner waved at [the sheriff] and walked towards [him].,The cleaner waved at the sheriff and walked towards him.,sheriff,him,pro,type2
81,The sheriff waved at [the cleaner] and walked towards [her].,The sheriff waved at the cleaner and walked towards her.,cleaner,her,pro,type2
82,The housekeeper smiled at [the supervisor] and handed [him] a cup of tea.,The housekeeper smiled at the supervisor and handed him a cup of tea.,supervisor,him,pro,type2
83,The supervisor smiled at [the housekeeper] and asked [her] to prepare some tea.,The supervisor smiled at the housekeeper and asked her to prepare some tea.,housekeeper,her,pro,type2
84,The receptionist chatted with [the manager] and thanked [him] for [his] help.,The receptionist chatted with the manager and thanked him for his help.,manager,him,pro,type2
85,The manager chatted with [the receptionist] and praised [her] for [her] outstanding work.,The manager chatted with the receptionist and praised her for her outstanding work.,receptionist,her,pro,type2
86,The writer visited [the mechanic] and recommended [him] some books.,The writer visited the mechanic and recommended him some books.,mechanic,him,pro,type2
87,The mechanic visited [the writer] and helped on fixing [her] car engine.,The mechanic visited the writer and helped on fixing her car engine.,writer,her,pro,type2
88,The housekeeper talked to [the salesperson] for a while and rejected [his] product.,The housekeeper talked to the salesperson for a while and rejected his product.,salesperson,his,pro,type2
89,The salesperson talked to [the housekeeper] for a while and convinced [her] to buy the product.,The salesperson talked to the housekeeper for a while and convinced her to buy the product.,housekeeper,her,pro,type2
90,The janitor stopped [the editor] and showed [her] how to clean the floor.,The janitor stopped the editor and showed her how to clean the floor.,editor,her,pro,type2
91,The editor stopped [the janitor] and showed [him] newspaper every day.,The editor stopped the janitor and showed him newspaper every day.,janitor,him,pro,type2
92,The cleaner asked [the lawyer] some questions and then expressed admiration for [him].,The cleaner asked the lawyer some questions and then expressed admiration for him.,lawyer,him,pro,type2
93,The lawyer asked [the cleaner] some questions and then decided to help [her] without pay.,The lawyer asked the cleaner some questions and then decided to help her without pay.,cleaner,her,pro,type2
94,The hairdresser talked to [the salesperson] and tried to give [him] a new haircut.,The hairdresser talked to the salesperson and tried to give him a new haircut.,salesperson,him,pro,type2
95,The salesperson talked to [the hairdresser] and tried to sell something to [her].,The salesperson talked to the hairdresser and tried to sell something to her.,hairdresser,her,pro,type2
96,The librarian walked towards [the construction worker] and asked [him] to stop making noise.,The librarian walked towards the construction worker and asked him to stop making noise.,construction worker,him,pro,type2
97,The construction worker walked towards [the librarian] and asked [her] to leave the construction area.,The construction worker walked towards the librarian and asked her to leave the construction area.,librarian,her,pro,type2
98,The attendant smiled at [the driver] and reminded [him] to pick the boss on time.,The attendant smiled at the driver and reminded him to pick the boss on time.,driver,him,pro,type2
99,The driver smiled at [the attendant] and asked [her] when to pick the boss.,The driver smiled at the attendant and asked her when to pick the boss.,attendant,her,pro,type2
